feature,n_folds_selected,pct
x_min,10,1.0
x_kurt,10,1.0
arc_length,10,1.0
path_y,10,1.0
x_skew,9,0.9
y_kurt,9,0.9
path_x,9,0.9
y_min,8,0.8
speed_mean,8,0.8
speed_seg1,8,0.8
speed_seg3,8,0.8
path_z,8,0.8
x_max,7,0.7
y_max,7,0.7
speed_seg2,7,0.7
evr_pc2,7,0.7
x_range,6,0.6
z_kurt,6,0.6
curv_mean,6,0.6
y_range,5,0.5
accel_std,5,0.5
bbox_diag,5,0.5
curv_total,5,0.5
evr_pc1,5,0.5
z_skew,4,0.4
evr_pc3,4,0.4
x_std,3,0.3
y_std,3,0.3
y_skew,3,0.3
z_max,3,0.3
speed_std,3,0.3
accel_mean,3,0.3
z_std,2,0.2
speed_max,2,0.2
speed_min,2,0.2
curv_std,2,0.2
z_min,1,0.1
x_mean,0,0.0
y_mean,0,0.0
z_mean,0,0.0
z_range,0,0.0
bbox_x,0,0.0
bbox_y,0,0.0
bbox_z,0,0.0
disp_seg1,0,0.0
disp_seg2,0,0.0
disp_seg3,0,0.0
