Domain,Setting,Method,TrainAcc,TestAcc,Gap
1,UI,DT,0.9547777777777778,0.827,0.12777777777777788
1,UI,RF,0.9915555555555556,0.9120000000000001,0.07955555555555549
1,UI,LR,0.9556666666666667,0.8699999999999999,0.08566666666666678
1,UD,DT,0.9846666666666668,0.875,0.1096666666666668
1,UD,RF,0.9942222222222222,0.9560000000000001,0.03822222222222216
1,UD,LR,0.9891111111111112,0.9560000000000001,0.03311111111111109
4,UI,DT,0.948111111111111,0.8130000000000001,0.13511111111111096
4,UI,RF,0.9883333333333333,0.8640000000000001,0.12433333333333318
4,UI,LR,0.9571111111111111,0.8510000000000002,0.10611111111111093
4,UD,DT,0.9887777777777778,0.883,0.10577777777777775
4,UD,RF,0.9992222222222222,0.976,0.023222222222222255
4,UD,LR,0.9968888888888887,0.968,0.028888888888888742
